Country,ParticipantName,Address,City,BIC,Status,Role,Readiness Date,Scheme Leaving Date,Scheme Options
AUSTRIA,Raiffeisen Regionalbank Achensee eGen,Nr. 86 a,Maurach,RZTIAT22218,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Regionalbank Fuegen-Kaltenbach-Zell eGen,Lindenweg 450,Fuegen,RZTIAT22229,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISEN REGIONALBANK GAENSERNDORF eGen,"8, BAHNSTRASSE",GAENSERNDORF,RLNWATWWGAE,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Regionalbank Guessing-Jennersdorf eGen,Hauptstrasse 3,Guessing,RLBBAT2E027,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Regionalbank Hall in Tirol reg.Gen.m.b.H.,Zollstrasse 1,Hall i.T.,RZTIAT22362,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen Regionalbank Matrei i.O. eGen,Rauterplatz 4,Matrei i. Osttirol,RZTIAT22378,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISEN REGIONALBANK MOEDLING eGen,Hauptstrasse 27-29,Moedling,RLNWATWWGTD,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,RAIFFEISEN REGIONALBANK WR. NEUSTADT - SCHNEEBERGERGERLAND eGen,"28, HAUPTPLATZ",WIENER NEUSTADT,RLNWATWWWRN,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen-Bezirksbank Spittal/Drau reg.Gen.m.b.H.,Burgplatz 2,Spittal/Drau,RZKTAT2K267,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen-Landesbank Steiermark AG,Radetzkystrasse 15,Graz,RZSTAT2GXXX,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen-Landesbank Tirol AG,Adamgasse 1-7,Innsbruck,RZTIAT22XXX,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisen-Regionalbank Schwaz-Wattens eGen,Innsbrucker Strasse 11,Schwaz,RZTIAT22322,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank  Schilcherland eGen,Raiffeisenstrasse 1,Deutschlandsberg,RZSTAT2G043,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Raiffeisenbank Absam-Thaur-Volders eGen,Salzbergstrasse 64,Absam,RZTIAT22200,Pending EDS registration,Responding PSP;Requesting PSP,,,
