"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date","Scheme Options"
"AUSTRIA","Raiffeisenbank Handenberg-St. Georgen a. F. eGen","Baumgartnerstrasse 1","Handenberg","RZOOAT2L155","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Hausmannstaetten eGen","Grazer Strasse 6","Hausmannstaetten","RZSTAT2G133","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Heiligenkreuz-Kirchbach-St. Georgen eGen","Kirchbach 12","Kirchbach","RZSTAT2G170","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Hermagor reg.Gen.m.b.H.","Gasserplatz 4","Hermagor","RZKTAT2K543","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Hinterstoder eGen","Hinterstoder 19","Hinterstoder","RZOOAT2L165","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Hippach-Hart eGen","Lindenstrasse 11","Hippach","RZTIAT22241","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Hohe Tauern eGen","Ing. Wilhelm-Fazokas-Str. 2c","Kaprun","RVSAAT2S012","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Hohenems","Schillerallee 1","Hohenems","RANMAT21XXX","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK HOLLABRUNN eGen","7, RAIFFEISENPLATZ 1","HOLLABRUNN","RLNWATW1322","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Huettau-St.Martin-Niedernfritz eGen","Huettau 35","Huettau","RVSAAT2S027","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Ilz-Grossteinbach-Riegersburg eGen","Ilz 39","Ilz","RZSTAT2G151","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK IM RHEINTAL EGEN","Rathausplatz 8","Dornbirn","RVVGAT2B420","2009-11-02","",""
"AUSTRIA","Raiffeisenbank im Walgau eGen","Bahnhofstr. 2","Nenzing","RVVGAT2B458","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK IM WEINVIERTEL eGen","HAUPTPLATZ 37","MISTELBACH/ZAYA","RLNWATWWMIB","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Inneres Salzkammergut eGen","Kreuzplatz 20","Bad Ischl","RZOOAT2L545","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Innkreis Mitte eGen","Ort im Innkreis 7","Ort im Innkreis","RZOOAT2L200","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Kematen-Neuhofen eGen","Linzerstrasse 27","Kematen an der Krems","RZOOAT2L214","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Kitzbuehel - St. Johann eGen","Vorderstadt 3 a","Kitzbuehel","RZTIAT22263","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Kleinmuenchen/Linz eGen","Salzburger Strasse 5","Linz","RZOOAT2L226","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK KLOSTERNEUBURG eGen","7, RATHAUSPLATZ","KLOSTERNEUBURG","RLNWATWW367","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Koessen-Kirchdorf eGen","Dorf 4","Koessen","RZTIAT22264","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Koetschach-Mauthen reg.Gen.m.b.H.","Koetschach 7a","Koetschach-Mauthen","RZKTAT2K364","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Kollerschlag eGen","Markt 4","Kollerschlag","RZOOAT2L231","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK KORNEUBURG eGen","11, HAUPTPLATZ","KORNEUBURG","RLNWATWWKOR","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK KREMS eGen","8, DREIFALTIGKEITSPLATZ","KREMS (DONAU)","RLNWATWWKRE","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK KREUZENSTEIN eGen","STOCKERAUER STRASSE 8-10","Korneuburg","RLNWATW1438","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Kundl-Münster eGen","Dorfstrasse 14","Kundl","RZTIAT22267","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK LAA A.D. THAYA eGen","56, STADTPLATZ","LAA AN DER THAYA","RLNWATWWLAA","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Laengenfeld reg.Gen.m.b.H.","Oberlaengenfeld 72","Laengenfeld","RZTIAT22268","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Lammertal eGen","Markt 49","Abtenau","RVSAAT2S001","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Landskron-Gegendtal reg.Gen.m.b.H.","Ossiacher Strasse 26","Landskron","RZKTAT2K381","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK LANGENLOIS eGen","9, KORNPLATZ","LANGENLOIS","RLNWATWW426","2009-11-02","",""
"AUSTRIA","RAIFFEISENBANK LANGKAMPFEN-THIERSEE eGEN","Vorderthiersee 40","Thiersee","RZTIAT22339","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Lech am Arlberg eGen","Dorf 90","Lech","RVVGAT2B449","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Leibnitz eGen","Bahnhofstrasse 2","Leibnitz","RZSTAT2G206","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Leoben-Bruck eGen","Grazer Strasse 63","Kapfenberg","RZSTAT2G460","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Lieboch-Stainz eGen","Grazer Strasse 7","Stainz","RZSTAT2G210","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Lieser-Maltatal eG","Rennweg 6","Rennweg","RZKTAT2K464","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Liesingtal-St. Stefan eGen","Hauptstrasse 18","Mautern","RZSTAT2G227","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Liezen-Rottenmann-Trieben eGen","Hauptplatz 11","Liezen","RZSTAT2G215","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Linz-Land West eGen","Stadtplatz 4","Leonding","RZOOAT2L276","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Lipizzanerheimat eGen","C.-v.-Hoetzendorfstrasse 5","Voitsberg","RZSTAT2G487","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Lochen am See eGen","Ringstrasse 5","Lochen","RZOOAT2L290","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Lungau eGen","Kirchengasse 9","Tamsweg","RVSAAT2S063","2010-09-06","",""
"AUSTRIA","Raiffeisenbank Maria Schmolln und St. Johann am Walde eGen","Maria Schmolln 68","Maria Schmolln","RZOOAT2L312","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mariazellerland eGen","Hauptplatz 1","Mariazell","RZSTAT2G129","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Matrei am Brenner und Umgebung reg.Gen.m.b.H.","Brennerstrasse 43 a","Matrei a.Br.","RZTIAT22273","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mattigtal eGen","Hauptstrasse 61","Schalchen","RZOOAT2L303","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mayrhofen und Umgebung reg.Gen.m.b.H.","Hauptstrasse 401","Mayrhofen","RZTIAT22274","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Meggenhofen-Kematen eGen","Meggenhofen 55","Meggenhofen","RZOOAT2L313","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Millstaettersee eG.","Hauptstrasse 82","Seeboden","RZKTAT2K479","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mittel- und Hinterbregenzerwald eGen","Loco 910","Egg","RVVGAT2B423","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mittelkärnten","Oktoberplatz 1","St.Veit/Glan","RZKTAT2K475","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mittlere Südoststeiermark eGen","Paldau 40","Paldau","RZSTAT2G075","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mittleres Lavanttal eGen","St.Andrae 76","St.Andrae/L.","RZKTAT2K481","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mittleres Mostviertel eGen","SCHEIBBSER STRASSE 4","WIESELBURG/ERL.","RLNWATWW939","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mittleres Rodltal eGen","Marktplatz 44","Oberneukirchen","RZOOAT2L383","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Mondseeland eGen","Rainerstrasse 11","Mondsee","RZOOAT2L322","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Montfort eGen","Bahnhofstrasse 2","Rankweil","RVVGAT2B422","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Moosburg-Tigring reg.Gen.m.b.H.","Klagenfurter Strasse 5","Moosburg","RZKTAT2K411","2009-11-02","",""
"AUSTRIA","Raiffeisenbank Muehlviertler Alm eGen","Schulstrasse 2","Koenigswiesen","RZOOAT2L330","2009-11-02","",""
